x,y,eyy
9.04047E-001,9.03785E-001,-9.71E-05
1.41857E+000,9.03420E-001,-9.74E-05
1.93460E+000,9.04779E-001,-9.90E-05
2.44911E+000,9.04687E-001,-9.99E-05
2.96419E+000,9.04876E-001,-1.00E-04
3.47856E+000,9.04426E-001,-1.00E-04
3.99231E+000,9.03496E-001,-9.99E-05
4.50764E+000,9.04225E-001,-9.94E-05
5.02325E+000,9.05152E-001,-9.92E-05
5.53796E+000,9.05130E-001,-9.90E-05
6.05235E+000,9.04428E-001,-9.89E-05
6.56704E+000,9.04602E-001,-9.85E-05
7.08239E+000,9.05554E-001,-9.81E-05
7.59604E+000,9.04050E-001,-9.74E-05
8.11128E+000,9.04290E-001,-9.71E-05
8.62569E+000,9.04026E-001,-9.66E-05
9.14096E+000,9.04706E-001,-9.58E-05
9.65568E+000,9.04571E-001,-9.60E-05
1.01702E+001,9.04285E-001,-9.60E-05
1.06857E+001,9.05279E-001,-9.57E-05
1.11999E+001,9.04519E-001,-9.62E-05
1.17146E+001,9.04416E-001,-9.70E-05
1.22295E+001,9.04601E-001,-9.79E-05
1.27438E+001,9.03980E-001,-9.85E-05
1.32592E+001,9.04829E-001,-9.78E-05
1.37737E+001,9.04484E-001,-9.66E-05
1.42885E+001,9.04630E-001,-9.56E-05
1.48028E+001,9.03965E-001,-9.60E-05
1.53182E+001,9.04841E-001,-9.61E-05
1.58332E+001,9.05262E-001,-9.58E-05
1.63470E+001,9.03904E-001,-9.51E-05
1.68619E+001,9.04167E-001,-9.51E-05
1.73770E+001,9.04567E-001,-9.53E-05
1.78918E+001,9.04402E-001,-9.46E-05
1.84063E+001,9.04207E-001,-9.35E-05
1.89209E+001,9.04131E-001,-9.29E-05
1.94358E+001,9.04573E-001,-9.34E-05
1.99505E+001,9.04376E-001,-9.40E-05
2.04655E+001,9.04573E-001,-9.43E-05
2.09799E+001,9.04139E-001,-9.38E-05
2.14944E+001,9.03588E-001,-9.28E-05
2.20096E+001,9.04515E-001,-9.27E-05
2.25245E+001,9.04523E-001,-9.25E-05
2.30391E+001,9.04287E-001,-9.27E-05
2.35540E+001,9.04866E-001,-9.36E-05
2.40686E+001,9.04319E-001,-9.33E-05
2.45834E+001,9.04386E-001,-9.35E-05
2.50981E+001,9.04299E-001,-9.37E-05
2.56130E+001,9.04602E-001,-9.39E-05
2.61277E+001,9.04552E-001,-9.37E-05
2.66424E+001,9.04184E-001,-9.28E-05
2.71572E+001,9.04398E-001,-9.26E-05
2.76720E+001,9.04481E-001,-9.31E-05
2.81869E+001,9.04760E-001,-9.25E-05
2.87015E+001,9.04348E-001,-9.18E-05
2.92162E+001,9.04414E-001,-9.18E-05
2.97311E+001,9.04707E-001,-9.18E-05
3.02457E+001,9.04425E-001,-9.17E-05
3.07605E+001,9.04594E-001,-9.16E-05
3.12754E+001,9.04773E-001,-9.22E-05
3.17901E+001,9.04806E-001,-9.22E-05
3.23047E+001,9.04342E-001,-9.13E-05
3.28193E+001,9.04049E-001,-9.13E-05
3.33342E+001,9.04359E-001,-9.15E-05
3.38490E+001,9.04704E-001,-9.12E-05
3.43638E+001,9.04649E-001,-9.10E-05
3.48786E+001,9.04637E-001,-9.14E-05
3.53932E+001,9.04398E-001,-9.22E-05
3.59080E+001,9.04512E-001,-9.29E-05
3.64227E+001,9.04344E-001,-9.25E-05
3.69376E+001,9.04784E-001,-9.19E-05
3.74523E+001,9.04841E-001,-9.16E-05
3.79670E+001,9.04401E-001,-9.13E-05
3.84817E+001,9.04498E-001,-9.19E-05
3.89965E+001,9.04521E-001,-9.20E-05
3.95113E+001,9.04354E-001,-9.23E-05
4.00260E+001,9.04625E-001,-9.28E-05
4.05408E+001,9.04273E-001,-9.28E-05
4.10555E+001,9.04307E-001,-9.32E-05
4.15703E+001,9.04629E-001,-9.29E-05
4.20851E+001,9.04786E-001,-9.18E-05
4.25998E+001,9.04371E-001,-9.21E-05
4.31145E+001,9.03972E-001,-9.36E-05
4.36293E+001,9.04426E-001,-9.49E-05
4.41441E+001,9.04590E-001,-9.49E-05
4.46588E+001,9.04627E-001,-9.46E-05
4.51736E+001,9.04556E-001,-9.44E-05
4.56883E+001,9.04329E-001,-9.42E-05
4.62031E+001,9.04568E-001,-9.42E-05
4.67178E+001,9.04478E-001,-9.38E-05
4.72326E+001,9.04580E-001,-9.38E-05
4.77474E+001,9.04575E-001,-9.39E-05
4.82621E+001,9.04539E-001,-9.32E-05
4.87768E+001,9.04564E-001,-9.29E-05
4.92916E+001,9.04509E-001,-9.37E-05
4.98063E+001,9.04457E-001,-9.41E-05
5.03211E+001,9.04759E-001,-9.46E-05
5.08358E+001,9.04848E-001,-9.44E-05
5.13506E+001,9.04585E-001,-9.44E-05
5.18653E+001,9.04512E-001,-9.48E-05
5.23802E+001,9.04341E-001,-9.45E-05
5.28949E+001,9.04474E-001,-9.44E-05
5.34096E+001,9.04719E-001,-9.51E-05
5.39244E+001,9.04751E-001,-9.54E-05
5.44391E+001,9.04384E-001,-9.61E-05
5.49539E+001,9.04553E-001,-9.70E-05
5.54686E+001,9.04182E-001,-9.67E-05
5.59834E+001,9.04151E-001,-9.68E-05
5.64981E+001,9.04769E-001,-9.70E-05
5.70129E+001,9.04456E-001,-9.65E-05
5.75276E+001,9.04295E-001,-9.68E-05
5.80424E+001,9.04409E-001,-9.75E-05
5.85571E+001,9.04575E-001,-9.88E-05
5.90719E+001,9.04619E-001,-1.00E-04
5.95867E+001,9.04404E-001,-1.01E-04
6.01014E+001,9.04455E-001,-1.01E-04
6.06162E+001,9.04428E-001,-1.01E-04
6.11309E+001,9.04583E-001,-1.03E-04
6.16457E+001,9.04496E-001,-1.04E-04
6.21605E+001,9.04232E-001,-1.04E-04
6.26752E+001,9.04185E-001,-1.04E-04
6.31899E+001,9.04402E-001,-1.04E-04
6.37047E+001,9.04609E-001,-1.03E-04
6.42195E+001,9.04460E-001,-1.04E-04
6.47342E+001,9.04292E-001,-1.04E-04
6.52490E+001,9.04452E-001,-1.04E-04
6.57637E+001,9.04502E-001,-1.05E-04
6.62783E+001,9.04690E-001,-1.05E-04
6.67932E+001,9.04618E-001,-1.04E-04
6.73079E+001,9.04485E-001,-1.04E-04
6.78227E+001,9.04449E-001,-1.05E-04
6.83375E+001,9.04318E-001,-1.07E-04
6.88522E+001,9.04467E-001,-1.07E-04
6.93669E+001,9.04679E-001,-1.09E-04
6.98817E+001,9.04502E-001,-1.10E-04
7.03964E+001,9.04608E-001,-1.10E-04
7.09113E+001,9.04324E-001,-1.10E-04
7.14260E+001,9.04401E-001,-1.10E-04
7.19406E+001,9.04773E-001,-1.11E-04
7.24555E+001,9.04595E-001,-1.12E-04
7.29704E+001,9.04442E-001,-1.12E-04
7.34850E+001,9.04480E-001,-1.13E-04
7.39998E+001,9.04483E-001,-1.13E-04
7.45145E+001,9.04397E-001,-1.13E-04
7.50293E+001,9.04457E-001,-1.13E-04
7.55441E+001,9.04623E-001,-1.14E-04
7.60588E+001,9.04480E-001,-1.14E-04
7.65735E+001,9.04473E-001,-1.14E-04
7.70882E+001,9.04471E-001,-1.14E-04
7.76030E+001,9.04397E-001,-1.15E-04
7.81177E+001,9.04456E-001,-1.14E-04
7.86326E+001,9.04332E-001,-1.13E-04
7.91473E+001,9.04471E-001,-1.14E-04
7.96620E+001,9.04399E-001,-1.15E-04
8.01767E+001,9.04369E-001,-1.16E-04
8.06915E+001,9.04428E-001,-1.18E-04
8.12063E+001,9.04528E-001,-1.18E-04
8.17210E+001,9.04529E-001,-1.19E-04
8.22357E+001,9.04567E-001,-1.20E-04
8.27505E+001,9.04627E-001,-1.21E-04
8.32652E+001,9.04627E-001,-1.22E-04
8.37800E+001,9.04599E-001,-1.23E-04
8.42948E+001,9.04542E-001,-1.25E-04
8.48095E+001,9.04481E-001,-1.26E-04
8.53244E+001,9.04472E-001,-1.26E-04
8.58391E+001,9.04562E-001,-1.26E-04
8.63538E+001,9.04490E-001,-1.27E-04
8.68685E+001,9.04548E-001,-1.28E-04
8.73831E+001,9.04686E-001,-1.28E-04
8.78980E+001,9.04548E-001,-1.29E-04
8.84128E+001,9.04500E-001,-1.30E-04
8.89275E+001,9.04442E-001,-1.32E-04
8.94423E+001,9.04508E-001,-1.33E-04
8.99571E+001,9.04472E-001,-1.34E-04
9.04718E+001,9.04411E-001,-1.35E-04
9.09867E+001,9.04482E-001,-1.37E-04
9.15014E+001,9.04574E-001,-1.39E-04
9.20159E+001,9.04519E-001,-1.40E-04
9.25308E+001,9.04501E-001,-1.41E-04
9.30457E+001,9.04471E-001,-1.42E-04
9.35604E+001,9.04434E-001,-1.43E-04
9.40750E+001,9.04585E-001,-1.45E-04
9.45899E+001,9.04501E-001,-1.47E-04
9.51047E+001,9.04456E-001,-1.48E-04
9.56193E+001,9.04424E-001,-1.50E-04
9.61340E+001,9.04512E-001,-1.52E-04
9.66488E+001,9.04477E-001,-1.53E-04
9.71635E+001,9.04535E-001,-1.55E-04
9.76783E+001,9.04641E-001,-1.57E-04
9.81930E+001,9.04569E-001,-1.59E-04
9.87077E+001,9.04492E-001,-1.61E-04
9.92224E+001,9.04565E-001,-1.62E-04
