X_Serie_0,Y_Serie_0
9.0405E-001,-9.8268E-005
1.4186E+000,-9.7369E-005
1.9346E+000,-9.7127E-005
2.4491E+000,-9.6989E-005
2.9642E+000,-9.6562E-005
3.4786E+000,-9.6311E-005
3.9923E+000,-9.6249E-005
4.5076E+000,-9.6313E-005
5.0233E+000,-9.6482E-005
5.5380E+000,-9.6560E-005
6.0523E+000,-9.6505E-005
6.5670E+000,-9.6374E-005
7.0824E+000,-9.6307E-005
7.5960E+000,-9.6176E-005
8.1113E+000,-9.6019E-005
8.6257E+000,-9.5974E-005
9.1410E+000,-9.6113E-005
9.6557E+000,-9.6549E-005
1.0170E+001,-9.6906E-005
1.0686E+001,-9.7060E-005
1.1200E+001,-9.7289E-005
1.1715E+001,-9.7243E-005
1.2230E+001,-9.7024E-005
1.2744E+001,-9.6793E-005
1.3259E+001,-9.6757E-005
1.3774E+001,-9.7515E-005
1.4289E+001,-9.7903E-005
1.4803E+001,-9.7281E-005
1.5318E+001,-9.6541E-005
1.5833E+001,-9.6004E-005
1.6347E+001,-9.5824E-005
1.6862E+001,-9.5154E-005
1.7377E+001,-9.4437E-005
1.7892E+001,-9.4140E-005
1.8406E+001,-9.4704E-005
1.8921E+001,-9.4827E-005
1.9436E+001,-9.4743E-005
1.9951E+001,-9.4634E-005
2.0466E+001,-9.5042E-005
2.0980E+001,-9.5578E-005
2.1494E+001,-9.5863E-005
2.2010E+001,-9.6031E-005
2.2524E+001,-9.5698E-005
2.3039E+001,-9.5196E-005
2.3554E+001,-9.5128E-005
2.4069E+001,-9.5016E-005
2.4583E+001,-9.4487E-005
2.5098E+001,-9.3996E-005
2.5613E+001,-9.4009E-005
2.6128E+001,-9.4894E-005
2.6642E+001,-9.5109E-005
2.7157E+001,-9.5046E-005
2.7672E+001,-9.5333E-005
2.8187E+001,-9.5749E-005
2.8701E+001,-9.5747E-005
2.9216E+001,-9.5325E-005
2.9731E+001,-9.5234E-005
3.0246E+001,-9.5375E-005
3.0760E+001,-9.4894E-005
3.1275E+001,-9.4613E-005
3.1790E+001,-9.4536E-005
3.2305E+001,-9.4505E-005
3.2819E+001,-9.4714E-005
3.3334E+001,-9.4810E-005
3.3849E+001,-9.4648E-005
3.4364E+001,-9.4731E-005
3.4879E+001,-9.5077E-005
3.5393E+001,-9.5388E-005
3.5908E+001,-9.5164E-005
3.6423E+001,-9.4912E-005
3.6938E+001,-9.5486E-005
3.7452E+001,-9.5659E-005
3.7967E+001,-9.5462E-005
3.8482E+001,-9.5480E-005
3.8996E+001,-9.5555E-005
3.9511E+001,-9.5526E-005
4.0026E+001,-9.5408E-005
4.0541E+001,-9.5044E-005
4.1055E+001,-9.5087E-005
4.1570E+001,-9.5212E-005
4.2085E+001,-9.5488E-005
4.2600E+001,-9.5873E-005
4.3115E+001,-9.6167E-005
4.3629E+001,-9.5901E-005
4.4144E+001,-9.5514E-005
4.4659E+001,-9.5851E-005
4.5174E+001,-9.6391E-005
4.5688E+001,-9.6660E-005
4.6203E+001,-9.6427E-005
4.6718E+001,-9.6226E-005
4.7233E+001,-9.6241E-005
4.7747E+001,-9.6269E-005
4.8262E+001,-9.6450E-005
4.8777E+001,-9.6595E-005
4.9292E+001,-9.6475E-005
4.9806E+001,-9.5849E-005
5.0321E+001,-9.5496E-005
5.0836E+001,-9.5840E-005
5.1351E+001,-9.6032E-005
5.1865E+001,-9.6493E-005
5.2380E+001,-9.6853E-005
5.2895E+001,-9.6982E-005
5.3410E+001,-9.7204E-005
5.3924E+001,-9.7272E-005
5.4439E+001,-9.7355E-005
5.4954E+001,-9.7484E-005
5.5469E+001,-9.7790E-005
5.5983E+001,-9.8726E-005
5.6498E+001,-9.9600E-005
5.7013E+001,-1.0014E-004
5.7528E+001,-1.0104E-004
5.8042E+001,-1.0185E-004
5.8557E+001,-1.0191E-004
5.9072E+001,-1.0230E-004
5.9587E+001,-1.0306E-004
6.0101E+001,-1.0390E-004
6.0616E+001,-1.0420E-004
6.1131E+001,-1.0390E-004
6.1646E+001,-1.0324E-004
6.2160E+001,-1.0267E-004
6.2675E+001,-1.0312E-004
6.3190E+001,-1.0367E-004
6.3705E+001,-1.0390E-004
6.4219E+001,-1.0447E-004
6.4734E+001,-1.0478E-004
6.5249E+001,-1.0504E-004
6.5764E+001,-1.0509E-004
6.6278E+001,-1.0533E-004
6.6793E+001,-1.0621E-004
6.7308E+001,-1.0693E-004
6.7823E+001,-1.0727E-004
6.8337E+001,-1.0744E-004
6.8852E+001,-1.0813E-004
6.9367E+001,-1.0854E-004
6.9882E+001,-1.0896E-004
7.0396E+001,-1.0950E-004
7.0911E+001,-1.1027E-004
7.1426E+001,-1.1108E-004
7.1941E+001,-1.1150E-004
7.2456E+001,-1.1187E-004
7.2970E+001,-1.1236E-004
7.3485E+001,-1.1278E-004
7.4000E+001,-1.1346E-004
7.4515E+001,-1.1429E-004
7.5029E+001,-1.1487E-004
7.5544E+001,-1.1532E-004
7.6059E+001,-1.1569E-004
7.6573E+001,-1.1589E-004
7.7088E+001,-1.1606E-004
7.7603E+001,-1.1638E-004
7.8118E+001,-1.1657E-004
7.8633E+001,-1.1722E-004
7.9147E+001,-1.1807E-004
7.9662E+001,-1.1857E-004
8.0177E+001,-1.1888E-004
8.0692E+001,-1.1945E-004
8.1206E+001,-1.2045E-004
8.1721E+001,-1.2174E-004
8.2236E+001,-1.2260E-004
8.2750E+001,-1.2301E-004
8.3265E+001,-1.2371E-004
8.3780E+001,-1.2442E-004
8.4295E+001,-1.2531E-004
8.4810E+001,-1.2649E-004
8.5324E+001,-1.2782E-004
8.5839E+001,-1.2861E-004
8.6354E+001,-1.2938E-004
8.6868E+001,-1.2999E-004
8.7383E+001,-1.3060E-004
8.7898E+001,-1.3163E-004
8.8413E+001,-1.3259E-004
8.8928E+001,-1.3340E-004
8.9442E+001,-1.3506E-004
8.9957E+001,-1.3632E-004
9.0472E+001,-1.3714E-004
9.0987E+001,-1.3795E-004
9.1501E+001,-1.3872E-004
9.2016E+001,-1.3968E-004
9.2531E+001,-1.4085E-004
9.3046E+001,-1.4188E-004
9.3560E+001,-1.4286E-004
9.4075E+001,-1.4386E-004
9.4590E+001,-1.4492E-004
9.5105E+001,-1.4610E-004
9.5619E+001,-1.4738E-004
9.6134E+001,-1.4884E-004
9.6649E+001,-1.5007E-004
9.7164E+001,-1.5125E-004
9.7678E+001,-1.5293E-004
9.8193E+001,-1.5465E-004
9.8708E+001,-1.5710E-004
9.9222E+001,-1.6027E-004
